Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-05-26,215.544,217.81,214.001,215.3,53.94882006,11622.1987199,215.430081825
2015-05-25,213.51,217.3,212.13,215.544,90.9161327,19561.6527473,215.161513874
2015-05-24,215.28,217.3,213.0,215.16,77.20557075,16566.1571635,214.572044512
2015-05-23,214.8,217.19,212.5,215.45,34.84792487,7488.87002266,214.901462586
2015-05-22,210.311,216.5,210.0,215.6,87.48102008,18643.1495855,213.110793272
2015-05-21,209.015,213.93,209.002,210.311,44.33601697,9368.82857667,211.314168862
2015-05-20,207.5,212.1,207.13,210.8,58.06363779,12150.1813929,209.256289398
2015-05-19,207.2,209.99,207.131,207.5,65.40826565,13624.04478,208.292402262
2015-05-18,210.0,210.739,207.13,207.131,51.26079721,10722.2770232,209.171093833
2015-05-17,209.236,210.74,207.901,210.0,22.26610776,4655.48117467,209.083743996
2015-05-16,210.2,214.0,208.45,209.236,56.40296961,11876.7513669,210.569610944
2015-05-15,214.0,216.5,208.889,212.766,71.49354786,15179.3956575,212.318399517
2015-05-14,213.781,219.846,210.0,213.0,286.44957918,61229.6293447,213.753602013
2015-05-13,216.2,219.99,213.111,215.404,151.94935657,32920.2943346,216.65306835
2015-05-12,217.001,219.946,216.2,217.066,34.54644613,7529.83438755,217.962633818
2015-05-11,216.25,219.975,215.8,217.001,67.51544785,14690.2132848,217.582994005
2015-05-10,217.0,219.99,215.801,216.63,37.63601805,8182.04531996,217.399335634
2015-05-09,217.1,221.0,215.0,217.0,51.59259812,11214.3333425,217.363221686
2015-05-08,211.7,219.84,210.847,218.05,88.83975314,19174.301934,215.830202767
2015-05-07,205.63,216.99,205.63,211.7,105.02953319,22070.3760783,210.13495355
2015-05-06,213.25,213.25,205.0,207.27,87.6945659,18383.8278998,209.634744309
2015-05-05,215.963,217.8,212.87,213.13,81.66206368,17475.5746298,213.99868975
2015-05-04,217.304,223.527,215.178,217.495,50.36933251,10977.7123471,217.944368131
2015-05-03,214.65,225.0,213.129,219.32,53.89145248,11810.2917087,219.149626985
2015-05-02,211.11,223.0,209.26,215.0,66.25703668,14225.6646059,214.704208318
2015-05-01,212.0,215.0,209.0,210.493,21.86885254,4630.33740393,211.73206941
2015-04-30,207.839,215.769,206.0,214.36,244.67317826,51297.76872,209.658324974
2015-04-29,213.0,270.0,207.0,209.2,522.36668708,114996.154971,220.144503497
2015-04-28,216.5,217.56,208.565,212.685,53.5486472,11393.6585379,212.772107862
2015-04-27,204.592,224.123,203.759,215.648,88.7319371,18786.4501558,211.721402347
2015-04-26,213.136,213.136,202.23,204.592,80.68042566,16612.1947798,205.901179176
2015-04-25,215.0,216.67,210.658,211.48,37.97684841,8138.98691475,214.314437756
2015-04-24,219.42,222.482,213.7,216.677,85.62328062,18653.130657,217.851155923
2015-04-23,220.1,224.367,217.107,221.671,58.29202536,12863.2681488,220.669432385
2015-04-22,219.23,223.477,217.3,217.3,36.11929839,7951.17835212,220.136567058
2015-04-21,212.0,221.856,210.0,220.69,94.65920386,20260.1189257,214.032213451
2015-04-20,210.6,214.8,208.883,212.0,57.74748749,12286.4539464,212.761705842
2015-04-19,212.357,215.38,210.6,212.104,13.86283569,2967.14507048,214.035940181
2015-04-18,211.8,214.6,208.3,212.357,35.11030576,7440.74508508,211.92481592
2015-04-17,215.6,216.797,210.0,211.8,98.78908635,21010.9236248,212.684663874
2015-04-16,213.1,218.065,212.419,216.069,38.02469082,8208.35802316,215.869158858
2015-04-15,207.939,214.5,207.15,212.264,74.96587461,15878.3926222,211.808275496
2015-04-14,216.638,216.969,206.0,207.939,197.61420677,41619.9660319,210.612216157
2015-04-13,223.082,226.15,212.51,215.0,200.34794387,44028.7054147,219.761204254
2015-04-12,224.95,224.95,220.081,223.037,32.11087888,7163.30076357,223.080183832
2015-04-11,225.431,229.0,223.65,224.95,40.85104413,9187.83656403,224.910691017
2015-04-10,228.638,230.576,224.0,224.874,252.06447898,57111.8595883,226.576389579
2015-04-09,229.016,232.0,226.39,228.578,113.38481712,25882.6901597,228.272980608
2015-04-08,236.85,236.85,227.45,229.016,78.60061641,18152.6039044,230.947347916
2015-04-07,235.73,238.126,233.0,235.11,90.98919146,21447.6875006,235.716870944
2015-04-06,240.336,243.432,235.012,235.679,66.66637681,15898.0654804,238.472019047
2015-04-05,235.974,240.0,233.201,239.0,55.56669582,13183.3818171,237.253297546
2015-04-04,236.78,238.74,232.5,235.984,96.19145418,22706.5943868,236.056254481
2015-04-03,234.0,237.99,232.681,236.8,55.85246538,13150.1352398,235.444132149
2015-04-02,231.571,236.968,229.011,235.0,69.71221433,16249.2085274,233.089834882
2015-04-01,229.737,233.66,228.0,230.299,87.94770909,20257.4430444,230.33508495
2015-03-31,233.2,236.975,227.461,229.674,112.82325792,26121.604981,231.526774378
2015-03-30,227.504,234.987,224.0,232.751,68.68183577,15828.6978727,230.464105906
2015-03-29,233.18,235.354,225.001,227.44,64.66581782,14778.4299402,228.535421625
2015-03-28,232.0,238.871,229.9,233.22,56.44229927,13230.2165692,234.402509117
